"subject"	"activityNum"	"activityName"	"featureDomain"	"featureSensor"	"featureMotion"	"featureJerk"	"featureMagnitude"	"featureMeasure"	"featureAxis"	"count"	"average"
"32"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"X"	95	-0.113615602435789
"33"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"Y"	95	0.0670025007684211
"34"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"Z"	95	-0.502699788526316
"35"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"NA"	"Magnitude"	"Mean"	"Other"	95	-0.136971176556842
"36"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"NA"	"Magnitude"	"SD"	"Other"	95	-0.219688645631579
"37"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"X"	95	0.277330758736842
"38"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"Y"	95	-0.0173838185273684
"39"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"Z"	95	-0.111148103547368
"40"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"X"	95	-0.283740258842105
"41"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"Y"	95	0.114461336747368
"42"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"Z"	95	-0.260027902210526
"43"	1	1	"WALKING"	"Time"	"Accelerometer"	"Gravity"	"NA"	"Magnitude"	"Mean"	"Other"	95	-0.136971176556842
"44"	1	1	"WALKING"	"Time"	"Accelerometer"	"Gravity"	"NA"	"Magnitude"	"SD"	"Other"	95	-0.219688645631579
"45"	1	1	"WALKING"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"Mean"	"X"	95	0.935223201473684
"46"	1	1	"WALKING"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"Mean"	"Y"	95	-0.282165021263158
"47"	1	1	"WALKING"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"Mean"	"Z"	95	-0.068102864
"48"	1	1	"WALKING"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"SD"	"X"	95	-0.976609642526316
"49"	1	1	"WALKING"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"SD"	"Y"	95	-0.971305961473684
"50"	1	1	"WALKING"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"SD"	"Z"	95	-0.947717226105263
"51"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"Jerk"	"Magnitude"	"Mean"	"Other"	95	-0.298703679084211
"52"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"Jerk"	"Magnitude"	"SD"	"Other"	95	-0.325324878894737
"53"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"Jerk"	"NA"	"Mean"	"X"	95	-0.0899975423705263
"54"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"Jerk"	"NA"	"Mean"	"Y"	95	-0.0398428709463158
"55"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"Jerk"	"NA"	"Mean"	"Z"	95	-0.0461309295021053
"56"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"Jerk"	"NA"	"SD"	"X"	95	-0.207421854757895
"57"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"Jerk"	"NA"	"SD"	"Y"	95	-0.304468510631579
"58"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"Jerk"	"NA"	"SD"	"Z"	95	-0.404255452631579
"59"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"NA"	"Magnitude"	"Mean"	"Other"	95	-0.160979552536842
"60"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"NA"	"Magnitude"	"SD"	"Other"	95	-0.186978364526316
"61"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"X"	95	-0.041830963526
"62"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"Y"	95	-0.0695300462115789
"63"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"Z"	95	0.0849448173042105
"64"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"X"	95	-0.473535485894737
"65"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"Y"	95	-0.0546077686594737
"66"	1	1	"WALKING"	"Time"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"Z"	95	-0.344266629473684
"67"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"Magnitude"	"Mean"	"Other"	53	-0.44265216245283
"68"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"Magnitude"	"SD"	"Other"	53	-0.533059853773585
"69"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"X"	53	-0.479875245660377
"70"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"Y"	53	-0.41344458754717
"71"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"Z"	53	-0.685474353962264
"72"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"X"	53	-0.461907025849057
"73"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"Y"	53	-0.381777065283019
"74"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"Z"	53	-0.726040200754717
"75"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"Magnitude"	"Mean"	"Other"	53	-0.352395944716981
"76"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"Magnitude"	"SD"	"Other"	53	-0.416260101509434
"77"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"X"	53	-0.404321784150943
"78"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"Y"	53	-0.190976720811321
"79"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"Z"	53	-0.433349702075472
"80"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"X"	53	-0.337428188679245
"81"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"Y"	53	0.0217695106566038
"82"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"Z"	53	0.0859565543849057
"83"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"Jerk"	"Magnitude"	"Mean"	"Other"	53	-0.634665082075472
"84"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"Jerk"	"Magnitude"	"SD"	"Other"	53	-0.693930521509434
"85"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"Magnitude"	"Mean"	"Other"	53	-0.325961457396226
"86"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"Magnitude"	"SD"	"Other"	53	-0.182985518264151
"87"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"X"	53	-0.492611667924528
"88"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"Y"	53	-0.319474609056604
"89"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"Z"	53	-0.453597213018868
"90"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"X"	53	-0.565892490754717
"91"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"Y"	53	0.151538905566038
"92"	1	2	"WALKING_UPSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"Z"	53	-0.57170784
"93"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"Magnitude"	"Mean"	"Other"	53	-0.466503446226415
"94"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"Magnitude"	"SD"	"Other"	53	-0.478991622075472
"95"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"X"	53	0.101372729922642
"96"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"Y"	53	0.0194863076188679
"97"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"Z"	53	-0.0455625449113208
"98"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"X"	53	-0.446843887735849
"99"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"Y"	53	-0.378274426037736
"100"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"Z"	53	-0.706593530943396
"101"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"Magnitude"	"Mean"	"Other"	53	-0.129927630735849
"102"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"Magnitude"	"SD"	"Other"	53	-0.324970929245283
"103"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"X"	53	0.255461689622641
"104"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"Y"	53	-0.0239531492643396
"105"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"Z"	53	-0.0973020020943396
"106"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"X"	53	-0.35470802509434
"107"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"Y"	53	-0.00232026501698113
"108"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"Z"	53	-0.0194792388471698
"109"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"Magnitude"	"Mean"	"Other"	53	-0.129927630735849
"110"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"Magnitude"	"SD"	"Other"	53	-0.324970929245283
"111"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"Mean"	"X"	53	0.89335109754717
"112"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"Mean"	"Y"	53	-0.362153364339623
"113"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"Mean"	"Z"	53	-0.075402939754717
"114"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"SD"	"X"	53	-0.956367027924528
"115"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"SD"	"Y"	53	-0.952849233207547
"116"	1	2	"WALKING_UPSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"SD"	"Z"	53	-0.912379410377358
"117"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"Jerk"	"Magnitude"	"Mean"	"Other"	53	-0.59488286509434
"118"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"Jerk"	"Magnitude"	"SD"	"Other"	53	-0.648553044339623
"119"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"Jerk"	"NA"	"Mean"	"X"	53	-0.122232768011321
"120"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"Jerk"	"NA"	"Mean"	"Y"	53	-0.0421485884509434
"121"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"Jerk"	"NA"	"Mean"	"Z"	53	-0.0407125527654717
"122"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"Jerk"	"NA"	"SD"	"X"	53	-0.614786508490566
"123"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"Jerk"	"NA"	"SD"	"Y"	53	-0.601696656226415
"124"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"Jerk"	"NA"	"SD"	"Z"	53	-0.606332002264151
"125"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"NA"	"Magnitude"	"Mean"	"Other"	53	-0.126735589969811
"126"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"NA"	"Magnitude"	"SD"	"Other"	53	-0.14861931805283
"127"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"X"	53	0.050549379754717
"128"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"Y"	53	-0.166170015088679
"129"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"Z"	53	0.0583595463981132
"130"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"X"	53	-0.544871104528302
"131"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"Y"	53	0.00410518379811321
"132"	1	2	"WALKING_UPSTAIRS"	"Time"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"Z"	53	-0.50716867490566
"133"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"Magnitude"	"Mean"	"Other"	49	0.0262184949326531
"134"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"Magnitude"	"SD"	"Other"	49	-0.104052260726531
"135"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"X"	49	-0.0276638676122449
"136"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"Y"	49	-0.12866715764898
"137"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"Z"	49	-0.288334735714286
"138"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"X"	49	-0.0863278966402041
"139"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"Y"	49	-0.134580008877551
"140"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"Z"	49	-0.401721464285714
"141"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"Magnitude"	"Mean"	"Other"	49	0.0965845343040816
"142"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"Magnitude"	"SD"	"Other"	49	-0.186530301073469
"143"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"X"	49	0.0382291831510204
"144"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"Y"	49	0.00154990783591837
"145"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"Z"	49	-0.225574471693878
"146"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"X"	49	0.0243308391387755
"147"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"Y"	49	-0.112963739953061
"148"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"Z"	49	-0.297927894693878
"149"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"Jerk"	"Magnitude"	"Mean"	"Other"	49	-0.281963359177551
"150"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"Jerk"	"Magnitude"	"SD"	"Other"	49	-0.391919876612245
"151"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"Magnitude"	"Mean"	"Other"	49	-0.185720285744898
"152"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"Magnitude"	"SD"	"Other"	49	-0.398350390122449
"153"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"X"	49	-0.352449631363265
"154"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"Y"	49	-0.0557022524693878
"155"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"Z"	49	-0.0318694271979592
"156"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"X"	49	-0.495422486102041
"157"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"Y"	49	-0.181414728657143
"158"	1	3	"WALKING_DOWNSTAIRS"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"Z"	49	-0.238443565306122
"159"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"Magnitude"	"Mean"	"Other"	49	-0.0894474807979592
"160"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"Magnitude"	"SD"	"Other"	49	-0.0257877197081633
"161"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"X"	49	0.0541553164897959
"162"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"Y"	49	0.0296504490408163
"163"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"Z"	49	-0.0109719730183673
"164"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"X"	49	-0.012283860544898
"165"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"Y"	49	-0.101601390640816
"166"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"Z"	49	-0.345735032326531
"167"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"Magnitude"	"Mean"	"Other"	49	0.0271882914106122
"168"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"Magnitude"	"SD"	"Other"	49	0.0198843506265306
"169"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"X"	49	0.289188320408163
"170"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"Y"	49	-0.00991850461020408
"171"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"Z"	49	-0.107566190908163
"172"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"X"	49	0.0300353383483878
"173"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"Y"	49	-0.0319359434489796
"174"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"Z"	49	-0.230434213204082
"175"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"Magnitude"	"Mean"	"Other"	49	0.0271882914106122
"176"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"Magnitude"	"SD"	"Other"	49	0.0198843506265306
"177"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"Mean"	"X"	49	0.931874418979592
"178"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"Mean"	"Y"	49	-0.266610338979592
"179"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"Mean"	"Z"	49	-0.0621199585938776
"180"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"SD"	"X"	49	-0.950559811632653
"181"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"SD"	"Y"	49	-0.937018658979592
"182"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Accelerometer"	"Gravity"	"NA"	"NA"	"SD"	"Z"	49	-0.895939695102041
"183"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Gyroscope"	"NA"	"Jerk"	"Magnitude"	"Mean"	"Other"	49	-0.295463843346939
"184"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Gyroscope"	"NA"	"Jerk"	"Magnitude"	"SD"	"Other"	49	-0.306510645530612
"185"	1	3	"WALKING_DOWNSTAIRS"	"Time"	"Gyroscope"	"NA"	"Jerk"	"NA"	"Mean"	"X"	49	-0.0739592036271429
